"Extension","TotalLines","AILines","AIPercentage","FileCount"
"json","183437","27545","15.02","326"
"py","23798","3395","14.27","422"
"bicep","17368","1767","10.17","477"
"tsx","12503","8923","71.37","311"
"md","6045","487","8.06","256"
"sh","5932","228","3.84","185"
"yml","3843","0","0","186"
"css","2973","1250","42.05","145"
"csv","2584","2177","84.25","40"
"ts","1765","1384","78.41","107"
"gitignore","697","24","3.44","15"
"js","683","187","27.38","17"
"svg","649","272","41.91","65"
"yaml","557","45","8.08","20"
"txt","475","56","11.79","138"
"ipynb","414","132","31.88","40"
"dockerignore","334","5","1.5","11"
"ps1","331","0","0","12"
"js}","247","0","0","8"
"sample","239","129","53.97","16"
"py}","169","0","0","3"
"dockerfile","127","32","25.2","19"
"pylintrc","82","0","0","4"
"cmd","80","40","50","7"
"other","65","11","16.92","9"
"html","61","28","45.9","20"
"bicepparam","33","0","0","16"
"flake8","24","0","0","14"
"bicep}","23","0","0","4"
"github/codeowners","16","0","0","7"
"map}","9","0","0","9"
"css}","7","0","0","8"
"env","7","0","0","1"
"md}","7","0","0","2"
"gitattributes","6","3","50","7"
"eslintignore","4","4","100","3"
"tsx}","4","4","100","1"
"prettierignore","4","4","100","3"
"map","3","1","33.33","7"
"json}","3","0","0","2"
