"Extension","TotalLines","AILines","AIPercentage","FileCount"
"json","172045","27545","16.01","274"
"py","16427","3395","20.67","325"
"tsx","12404","8923","71.94","303"
"bicep","11998","1767","14.73","353"
"md","4811","487","10.12","208"
"sh","4696","228","4.86","149"
"yml","3616","0","0","165"
"css","2964","1250","42.17","140"
"csv","2584","2177","84.25","40"
"ts","1723","1384","80.33","105"
"gitignore","689","24","3.48","13"
"js","683","187","27.38","15"
"svg","649","272","41.91","65"
"yaml","477","45","9.43","16"
"ipynb","414","132","31.88","40"
"txt","340","56","16.47","104"
"ps1","331","0","0","12"
"sample","224","129","57.59","13"
"js}","187","0","0","7"
"dockerignore","173","5","2.89","10"
"py}","169","0","0","1"
"dockerfile","127","32","25.2","19"
"pylintrc","82","0","0","4"
"cmd","80","40","50","7"
"other","65","11","16.92","9"
"html","59","28","47.46","19"
"bicepparam","25","0","0","8"
"flake8","24","0","0","14"
"github/codeowners","16","0","0","7"
"bicep}","16","0","0","2"
"map}","8","0","0","8"
"env","7","0","0","1"
"css}","7","0","0","8"
"gitattributes","6","3","50","7"
"prettierignore","4","4","100","3"
"eslintignore","4","4","100","3"
"tsx}","4","4","100","1"
"json}","3","0","0","2"
"map","3","1","33.33","5"
