"Extension","TotalLines","AILines","AIPercentage","FileCount"
"json","131392","0","0","63"
"py","29690","85","0.29","458"
"json}","27594","0","0","1"
"ps1","11074","0","0","137"
"md","10268","0","0","107"
"bicep","9128","0","0","82"
"tsx","8597","0","0","189"
"ts","1464","0","0","37"
"sh","1311","0","0","22"
"yml","1206","0","0","34"
"css","819","0","0","13"
"js","654","0","0","29"
"txt","550","0","0","58"
"gitignore","544","0","0","8"
"other","273","0","0","21"
"bat","225","0","0","4"
"csv","100","0","0","9"
"example","95","0","0","14"
"yaml","70","0","0","5"
"conf","63","0","0","4"
"html","49","0","0","8"
"svg","48","0","0","32"
"sample","48","0","0","4"
"minimal","34","0","0","2"
"ini","34","0","0","3"
"frontend","32","0","0","2"
"dockerignore","31","0","0","4"
"coveragerc","25","0","0","2"
"config","20","0","0","2"
"sql","14","0","0","2"
"flake8","14","2","14.29","4"
"github/codeowners","11","0","0","7"
"deployment","3","0","0","2"
"spark-initial-sha","1","0","0","2"
