"Extension","TotalLines","AILines","AIPercentage","FileCount"
"json","131494","0","0","66"
"py","41015","170","0.41","582"
"json}","27594","0","0","1"
"ps1","11468","0","0","139"
"md","10433","0","0","119"
"bicep","9142","0","0","84"
"tsx","8828","0","0","201"
"yml","2215","0","0","54"
"ts","1472","0","0","38"
"sh","1432","0","0","24"
"css","819","0","0","13"
"js","654","0","0","29"
"txt","598","0","0","64"
"gitignore","545","0","0","9"
"other","277","0","0","22"
"bat","225","0","0","4"
"csv","133","0","0","12"
"yaml","124","0","0","7"
"example","95","0","0","14"
"ini","68","0","0","6"
"conf","63","0","0","4"
"coveragerc","50","0","0","4"
"html","49","0","0","8"
"svg","48","0","0","32"
"sample","48","0","0","4"
"minimal","34","0","0","2"
"frontend","32","0","0","2"
"dockerignore","31","0","0","4"
"flake8","28","4","14.29","8"
"config","20","0","0","2"
"sql","14","0","0","2"
"github/codeowners","13","0","0","9"
"deployment","3","0","0","2"
"spark-initial-sha","1","0","0","2"
