"Application","Branch","TotalCommits","AICommits","HumanCommits","TotalLinesAdded","AILinesAdded","HumanLinesAdded","AIPercentage","Tier1","Tier2","Tier3","Tier4","Tier5","UniqueContributors"
"MACAE v4","main","129","2","127","55171","348","54823","0.63","0","0","1","0","1","20"
"Deploy your AI application","main","14","0","14","15593",,"15593","0","0","0","0","0","0","5"
"BYOCC","dev","50","3","47","13584","4498","9086","33.11","0","0","2","0","1","8"
"RTI","main","115","7","108","12412","5650","6762","45.52","0","0","3","1","3","8"
"Fabric SQL","dev","50","5","45","5311","408","4903","7.68","0","3","1","0","1","9"
"Code Modernization","dev","46","1","45","3640","165","3475","4.53","0","0","0","1","0","8"
"Content Processing","dev","41","0","41","5703",,"5703","0","0","0","0","0","0","10"
"Doc Gen","dev","35","0","35","3425",,"3425","0","0","0","0","0","0","9"
"DKM","dev","17","0","17","1844",,"1844","0","0","0","0","0","0","5"
"Container Migration","dev","37","0","37","717",,"717","0","0","0","0","0","0","7"
"CWYD","dev","5","2","3","201","132","69","65.67","0","0","0","0","2","4"
"BYOC","dev","8","2","6","1108","2","1106","0.18","2","0","0","0","0","3"
"MAAG","dev","3","0","3","2",,"2","0","0","0","0","0","0","2"
