"Extension","TotalLines","AILines","AIPercentage","FileCount"
"json","141358","23540","16.65","673"
"other","100473","2","0","24"
"py","45000","17146","38.1","1762"
"pdf","39253","39253","100","53"
"csv","27036","0","0","1"
"lock","23135","4180","18.07","173"
"bicep","18827","2255","11.98","329"
"tsx","8626","8257","95.72","109"
"md","5426","924","17.03","316"
"yml","2902","373","12.85","211"
"ts","1919","1652","86.09","72"
"css","1587","1168","73.6","56"
"sh","1042","177","16.99","37"
"gitignore","815","75","9.2","27"
"ipynb","533","533","100","1"
"txt","479","154","32.15","115"
"py}","420","45","10.71","120"
"toml","334","22","6.59","161"
"yaml","325","24","7.38","27"
"js","296","250","84.46","8"
"dockerignore","258","27","10.47","23"
"bicep}","203","0","0","1"
"sample","184","66","35.87","46"
"dockerfile","170","50","29.41","39"
"bicepparam","140","23","16.43","32"
"svg","118","85","72.03","21"
"ps1","107","89","83.18","8"
"jinja2","78","0","0","3"
"config","60","60","100","1"
"jsonl","57","0","0","1"
"md}","52","0","0","3"
"html","31","31","100","7"
"webappignore","27","27","100","2"
"dev","24","20","83.33","5"
"test","24","19","79.17","5"
"funcignore","16","8","50","5"
"ini","15","0","0","6"
"yml}","14","0","0","2"
"testtool","13","8","61.54","5"
"devcontainer/dockerfile","10","0","0","4"
"coveragerc","8","0","0","3"
"flake8","7","3","42.86","4"
"tsx}","5","5","100","2"
"github/codeowners","4","0","0","4"
"dat","3","0","0","3"
"gitattributes","3","0","0","1"
"map","2","2","100","4"
"txt}","1","1","100","1"
