"Extension","TotalLines","AILines","AIPercentage","FileCount"
"json","96427","16859","17.48","59"
"py","14047","7058","50.25","447"
"bicep","9110","893","9.8","307"
"tsx","5616","5078","90.42","71"
"yml","5596","116","2.07","207"
"md","4557","503","11.04","173"
"sh","1157","0","0","28"
"gitignore","740","486","65.68","5"
"ts","642","637","99.22","10"
"bicepparam","624","5","0.8","42"
"ps1","605","0","0","15"
"sql","486","425","87.45","30"
"txt","294","206","70.07","41"
"css","263","259","98.48","6"
"dockerignore","162","0","0","1"
"js","161","160","99.38","7"
"other","118","21","17.8","11"
"jsx","114","112","98.25","4"
"yaml","102","50","49.02","22"
"cs","86","73","84.88","3"
"sample","62","29","46.77","7"
"dockerfile","55","53","96.36","3"
"bicep}","53","0","0","8"
"toml","27","27","100","1"
"ini","24","17","70.83","4"
"sln","24","24","100","1"
"csproj","19","19","100","1"
"html","13","13","100","1"
"github/codeowners","8","0","0","4"
"flake8","8","0","0","4"
"env","7","0","0","1"
"md}","2","0","0","1"
