"Extension","TotalLines","AILines","AIPercentage","FileCount"
"json","135550","10462","7.72","73"
"py","40503","38987","96.26","236"
"txt","14947","9461","63.3","213"
"md","8527","6235","73.12","114"
"tsx","7162","6514","90.95","40"
"lock","5681","5681","100","2"
"bicep","5446","894","16.42","53"
"yml","3180","6","0.19","87"
"ts","1671","1671","100","12"
"gitignore","1234","728","59","7"
"sh","751","245","32.62","7"
"yaml","520","368","70.77","23"
"dockerignore","450","450","100","3"
"css","357","357","100","5"
"jsx","184","181","98.37","3"
"js","165","165","100","5"
"other","153","111","72.55","5"
"toml","141","110","78.01","4"
"http","104","104","100","1"
"example","50","27","54","4"
"ini","33","33","100","1"
"sample","14","14","100","1"
"html","13","13","100","1"
"flake8","11","0","0","7"
"github/codeowners","7","0","0","3"
"env","7","0","0","1"
"python-version","2","2","100","2"
