"Extension","TotalLines","AILines","AIPercentage","FileCount"
"json","198666","46112","23.21","100"
"lock","24137","13445","55.7","31"
"py","11591","7793","67.23","210"
"md","7245","103","1.42","225"
"bicep","6360","0","0","138"
"yml","5634","255","4.53","186"
"tsx","3914","2566","65.56","100"
"txt","2841","458","16.12","72"
"ts","1869","1308","69.98","44"
"gitignore","937","267","28.5","8"
"scss","820","240","29.27","18"
"sh","760","181","23.82","32"
"ps1","582","201","34.54","16"
"css","361","361","100","7"
"dockerignore","332","322","96.99","4"
"bicep_old","256","0","0","2"
"http","213","213","100","1"
"yaml","165","12","7.27","27"
"other","127","83","65.35","8"
"toml","82","70","85.37","9"
"xml","64","0","0","1"
"svg","55","55","100","2"
"html","55","0","0","2"
"devcontainer/dockerfile","46","46","100","3"
"env","36","13","36.11","9"
"dockerfile","28","28","100","1"
"tsx}","25","0","0","4"
"ini","22","0","0","5"
"scss}","21","0","0","2"
"json}","17","0","0","1"
"conf","17","17","100","1"
"mjs","15","15","100","1"
"bicepparam","13","0","0","7"
"js","13","13","100","2"
"github/codeowners","9","0","0","5"
"dev","9","0","0","1"
"prettierrc","7","7","100","1"
"flake8","5","0","0","1"
"python-version","2","2","100","2"
