"Extension","TotalLines","AILines","AIPercentage","FileCount"
"json","104501","16988","16.26","175"
"cs","36648","36165","98.68","389"
"lock","31282","8546","27.32","82"
"tsx","6040","5227","86.54","84"
"md","5597","1937","34.61","155"
"bicep","4384","1347","30.73","115"
"yml","3052","0","0","132"
"ts","2069","1768","85.45","42"
"gitignore","1724","1159","67.23","11"
"ps1","1712","872","50.93","42"
"csproj","1133","958","84.55","86"
"drawio","980","980","100","1"
"sh","779","525","67.39","26"
"editorconfig","769","769","100","12"
"py","643","0","0","40"
"sln","564","564","100","4"
"bkp","542","542","100","1"
"scss","530","297","56.04","19"
"template","469","418","89.13","15"
"props","342","251","73.39","42"
"dotsettings","304","304","100","1"
"txt","298","253","84.9","21"
"sample","277","0","0","8"
"other","175","152","86.86","10"
"yaml","143","126","88.11","7"
"css","107","101","94.39","2"
"psm1","107","105","98.13","4"
"mjs","101","101","100","1"
"js","69","69","100","3"
"cjs","49","49","100","1"
"dockerignore","45","44","97.78","3"
"config","37","37","100","2"
"jsonl","36","36","100","1"
"html","19","19","100","1"
"github/codeowners","14","0","0","7"
"cmd","10","10","100","2"
"ini","6","0","0","3"
"gitattributes","5","5","100","1"
"eslintignore","5","5","100","1"
"prettierignore","3","3","100","1"
"svg","1","1","100","1"
