"Extension","TotalLines","AILines","AIPercentage","FileCount"
"json","266500","71909","26.98","79"
"ps1","46871","254","0.54","804"
"md","17220","87","0.51","407"
"bicep","11170","717","6.42","433"
"svg","9429","0","0","2"
"sh","6992","159","2.27","154"
"yml","990","0","0","58"
"yaml","893","42","4.7","78"
"bicepparam","772","0","0","16"
"py","741","396","53.44","49"
"old","656","0","0","5"
"gitignore","394","1","0.25","15"
"sample","208","0","0","16"
"other","182","0","0","19"
"txt","40","12","30","35"
"env","28","0","0","8"
"md}","18","0","0","1"
"github/codeowners","13","0","0","9"
"gitmodules","12","0","0","4"
"bicep}","1","0","0","7"
