"Extension","TotalLines","AILines","AIPercentage","FileCount"
"json","43576","0","0","20"
"ps1","10222","0","0","108"
"md","3767","0","0","61"
"sh","1442","0","0","40"
"bicep","649","0","0","58"
"yml","366","0","0","16"
"yaml","162","0","0","7"
"py","136","0","0","13"
"bicepparam","133","0","0","2"
"gitignore","97","0","0","3"
"sample","50","0","0","2"
"other","22","0","0","3"
"txt","9","0","0","10"
"devcontainer/dockerfile","8","0","0","2"
"env","7","0","0","2"
"github/codeowners","4","0","0","4"
"gitmodules","3","0","0","1"
