"Extension","TotalLines","AILines","AIPercentage","FileCount"
"json","184605","28255","15.31","325"
"py","20924","5395","25.78","442"
"tsx","13119","4471","34.08","320"
"bicep","11680","912","7.81","355"
"yml","6345","384","6.05","321"
"md","5978","698","11.68","251"
"sh","3305","612","18.52","117"
"html","2209","13","0.59","4"
"ts","1261","890","70.58","52"
"css","1215","1094","90.04","36"
"txt","473","26","5.5","138"
"sample","432","140","32.41","27"
"yaml","357","45","12.61","27"
"gitignore","302","10","3.31","16"
"ps1","234","71","30.34","9"
"dockerignore","166","5","3.01","3"
"other","139","97","69.78","10"
"md}","118","0","0","2"
"pylintrc","82","0","0","5"
"jinja2","79","79","100","2"
"svg","66","66","100","10"
"cmd","58","42","72.41","8"
"js","34","3","8.82","6"
"backend","34","0","0","2"
"dockerfile","33","31","93.94","4"
"flake8","26","0","0","6"
"bicepparam","26","0","0","10"
"github/codeowners","17","0","0","8"
"log","17","0","0","2"
"yml}","12","0","0","2"
"env","8","0","0","2"
"ini","7","0","0","2"
"eslintignore","4","4","100","2"
"prettierignore","4","4","100","2"
"gitattributes","3","3","100","1"
"dockerignore}","1","0","0","1"
