"Extension","TotalLines","AILines","AIPercentage","FileCount"
"json","164581","28255","17.17","286"
"py","20033","5395","26.93","420"
"tsx","12991","4471","34.42","311"
"bicep","9775","912","9.33","310"
"yml","6043","384","6.35","299"
"md","5678","698","12.29","232"
"sh","2872","612","21.31","100"
"html","2209","13","0.59","4"
"ts","1253","890","71.03","51"
"css","1215","1094","90.04","36"
"txt","451","26","5.76","115"
"yaml","302","45","14.9","25"
"gitignore","300","10","3.33","15"
"sample","298","140","46.98","24"
"ps1","180","71","39.44","7"
"dockerignore","166","5","3.01","3"
"other","139","97","69.78","10"
"md}","118","0","0","2"
"pylintrc","82","0","0","5"
"jinja2","79","79","100","2"
"svg","66","66","100","10"
"cmd","58","42","72.41","8"
"js","34","3","8.82","6"
"dockerfile","33","31","93.94","3"
"flake8","26","0","0","6"
"bicepparam","26","0","0","10"
"log","17","0","0","2"
"github/codeowners","17","0","0","8"
"yml}","12","0","0","2"
"env","8","0","0","2"
"ini","7","0","0","2"
"eslintignore","4","4","100","2"
"prettierignore","4","4","100","2"
"gitattributes","3","3","100","1"
"dockerignore}","1","0","0","1"
