"Extension","TotalLines","AILines","AIPercentage","FileCount"
"sql","48137","11531","23.95","14"
"json","29997","28036","93.46","65"
"py","16379","8323","50.82","212"
"csv","11876","0","0","7"
"cs","6269","223","3.56","170"
"yml","5515","1596","28.94","105"
"tsx","4810","3136","65.2","79"
"bicep","3606","2751","76.29","99"
"ts","2986","851","28.5","40"
"md","2470","1338","54.17","103"
"sh","1451","1011","69.68","56"
"gitignore","1319","288","21.83","16"
"css","925","857","92.65","13"
"dockerignore","582","322","55.33","7"
"dockerfile","310","62","20","14"
"ps1","217","214","98.62","4"
"ipynb","216","216","100","1"
"cmd","187","187","100","1"
"txt","162","57","35.19","28"
"sample","128","32","25","14"
"yaml","79","57","72.15","7"
"sln","50","0","0","3"
"csproj","48","0","0","8"
"html","48","46","95.83","3"
"other","42","21","50","2"
"js","41","0","0","5"
"editorconfig","21","0","0","2"
"svg","20","20","100","6"
"ini","19","13","68.42","4"
"github/codeowners","10","5","50","6"
"flake8","9","9","100","2"
"env","8","1","12.5","3"
"coveragerc","3","3","100","1"
"npmrc","3","3","100","1"
"gitattributes","1","1","100","1"
"cache","1","0","0","2"
