"Extension","TotalLines","AILines","AIPercentage","FileCount"
"py","3534777","3513514","99.4","19191"
"json","680157","60653","8.92","1144"
"c","128633","128633","100","124"
"js","119818","33501","27.96","1098"
"css","90767","44495","49.02","228"
"pyi","62586","62586","100","986"
"dat","60960","60960","100","66"
"afm","47256","47256","100","120"
"pyx","39403","39403","100","134"
"csv","38948","38935","99.97","75"
"dist-info/metadata","38903","38903","100","266"
"md","35941","1490","4.15","1070"
"h","27454","27454","100","186"
"dist-info/record","21491","21491","100","266"
"bicep","14159","1938","13.69","548"
"html","13380","214","1.6","221"
"scss","12724","0","0","236"
"tsx","10478","8787","83.86","213"
"pem","9532","9532","100","4"
"zi","8600","8600","100","4"
"yml","7706","5","0.06","413"
"ipynb","6993","3065","43.83","111"
"pxd","6293","6293","100","172"
"sh","6209","194","3.12","215"
"txt","5570","4867","87.38","457"
"svg","4642","4621","99.55","86"
"dist-info/license","4437","4437","100","144"
"dist-info/licenses/license","3670","3670","100","62"
"cs","3229","2030","62.87","104"
"tab","2796","2796","100","16"
"other","2740","2623","95.73","2463"
"ps1","1859","1248","67.13","43"
"ts","1405","1240","88.26","45"
"f90","1213","1213","100","120"
"gitignore","1188","499","42","50"
"mplstyle","1077","1077","100","58"
"toml","934","934","100","16"
"cshtml","763","510","66.84","61"
"dist-info/wheel","626","626","100","266"
"1","539","539","100","4"
"mjs","538","0","0","16"
"cmd","519","31","5.97","19"
"f","467","467","100","46"
"arff","410","410","100","32"
"rst","396","396","100","12"
"dockerignore","389","8","2.06","24"
"apache","379","379","100","4"
"yaml","300","32","10.67","34"
"tpl","261","261","100","14"
"sample","244","85","34.84","39"
"build","239","239","100","12"
"dockerfile","217","44","20.28","23"
"cfg","208","208","100","8"
"pdf","206","206","100","24"
"apache2","202","202","100","2"
"dist-info/licenses/licenses/license_apache","201","201","100","2"
"cpp","170","170","100","2"
"jsonl","146","0","0","3"
"dist-info/installer","132","132","100","264"
"proj","127","0","0","4"
"bat","112","112","100","8"
"typed","102","102","100","388"
"nuspec","100","0","0","6"
"csproj","85","49","57.65","12"
"pxi","83","83","100","2"
"md}","79","0","0","9"
"bicepparam","76","0","0","38"
"pyf","76","76","100","14"
"sln","75","50","66.67","6"
"map","66","16","24.24","132"
"xrc","65","65","100","2"
"gitattributes","63","0","0","6"
"props","63","0","0","6"
"dist-info/licenses/copying","57","57","100","6"
"ini","56","42","75","9"
"template","55","55","100","2"
"bsd","50","50","100","4"
"dist-info/licence","49","49","100","2"
"xml","45","15","33.33","10"
"env","31","0","0","14"
"dist-info/licenses/notice","28","28","100","6"
"webui/docker/dockerfile","22","0","0","2"
"ui/wwwroot/lib/bower_components/bootstrap/license","21","0","0","2"
"ui/wwwroot/lib/bootstrap/license","21","21","100","2"
"mit","20","20","100","2"
"pubxml","18","18","100","2"
"py}","16","0","0","3"
"zip","15","12","80","34"
"bicep}","15","0","0","2"
"github/codeowners","13","0","0","8"
"python/dockerfile","11","0","0","2"
"editorconfig","11","0","0","2"
"browserslistrc","11","0","0","2"
"iml","10","0","0","2"
"flake8","10","4","40","4"
"tmpl","9","9","100","4"
"npmrc","9","3","33.33","12"
"config","8","0","0","2"
"dist-info/delvewheel","8","8","100","8"
"hash","8","8","100","16"
"pc","7","7","100","2"
"eslintignore","7","0","0","2"
"dist-info/zip-safe","6","6","100","12"
"stylelintignore","5","0","0","2"
"funcignore","5","5","100","2"
"f95","5","5","100","2"
"keep","4","4","100","2"
"coveragerc","3","0","0","1"
"lua","3","3","100","2"
"f2py_f2cmap","2","2","100","4"
"yml}","1","0","0","4"
"ui/wwwroot/lib/bower_components/bootstrap/site/static/cname","1","0","0","2"
"inc","1","1","100","2"
"pth","1","1","100","2"
