"Extension","TotalLines","AILines","AIPercentage","FileCount"
"csv","86558","0","0","129"
"json","45196","0","0","13"
"ipynb","19843","0","0","267"
"md","6273","0","0","193"
"py","4832","0","0","27"
"ps1","1327","0","0","12"
"sh","806","0","0","20"
"yml","595","0","0","22"
"gitignore","509","0","0","5"
"bicep","304","0","0","10"
"txt","107","0","0","13"
"yaml","67","0","0","11"
"sql","46","0","0","3"
"other","42","0","0","2"
"ps1}","13","0","0","2"
"github/psl-codeowners","9","0","0","1"
"env","7","0","0","1"
"github/codeowners","4","0","0","4"
"png","1","0","0","117"
