"Extension","TotalLines","AILines","AIPercentage","FileCount"
"json","529159","78","0.01","157"
"py","135057","118916","88.05","1397"
"lock","16007","6618","41.34","41"
"yml","14871","40","0.27","515"
"md","9375","24","0.26","431"
"ps1","4043","21","0.52","71"
"sh","3382","0","0","67"
"tsx","3048","2328","76.38","302"
"bicep","1498","201","13.42","131"
"yaml","858","156","18.18","51"
"csv","273","249","91.21","51"
"gitignore","255","0","0","3"
"sample","102","0","0","27"
"other","63","0","0","3"
"json}","60","0","0","6"
"txt","59","0","0","29"
"flake8","54","0","0","6"
"coveragerc","50","50","100","2"
"toml","42","33","78.57","15"
"css","42","0","0","6"
"ini","22","10","45.45","10"
"env","21","0","0","3"
"github/codeowners","9","0","0","9"
"devcontainer/dockerfile","8","0","0","2"
