"Extension","TotalLines","AILines","AIPercentage","FileCount"
"json","758172","46824","6.18","421"
"py","114346","92336","80.75","3108"
"tsx","48152","34867","72.41","1508"
"bicep","33369","1678","5.03","494"
"lock","26561","3789","14.27","51"
"yml","18863","239","1.27","736"
"md","18857","4691","24.88","655"
"css","13395","6324","47.21","232"
"js","5825","1233","21.17","90"
"sh","5220","165","3.16","110"
"ps1","3183","200","6.28","54"
"ts","2819","2534","89.89","95"
"gitignore","950","463","48.74","24"
"html","927","281","30.31","52"
"yaml","626","75","11.98","70"
"dockerfile","582","582","100","18"
"csv","423","83","19.62","193"
"toml","331","31","9.37","44"
"dockerignore","325","3","0.92","3"
"other","300","88","29.33","45"
"txt","276","129","46.74","81"
"bicepparam","270","30","11.11","80"
"svg","188","120","63.83","34"
"sample","161","51","31.68","63"
"tsx}","95","92","96.84","40"
"dockerfile => src/frontend_react/dockerfile","38","0","0","2"
"old","38","0","0","4"
"example","36","16","44.44","8"
"nocache","35","0","0","2"
"ini","33","19","57.58","8"
"code-workspace","26","0","0","2"
"flake8","23","2","8.7","7"
"json}","10","0","0","1"
"python-version","8","2","25","14"
"env","7","0","0","1"
"github/workflows/codeowners","5","5","100","1"
"md}","5","0","0","1"
"bicep}","4","0","0","5"
"py}","4","0","0","4"
"github/codeowners","2","0","0","2"
"github/{codeowner => codeowners}","2","0","0","2"
