"Extension","TotalLines","AILines","AIPercentage","FileCount"
"csv","777696","777696","100","15"
"py","48423","39962","82.53","518"
"md","20433","9516","46.57","496"
"ps1","15682","15676","99.96","50"
"json","12468","3417","27.41","69"
"ipynb","8349","5432","65.06","39"
"kql","4601","4557","99.04","104"
"yml","2569","1182","46.01","107"
"gitignore","1639","45","2.75","10"
"sh","553","495","89.51","17"
"bicep","423","420","99.29","9"
"dockerignore","282","282","100","3"
"ps1}","231","3","1.3","6"
"txt","210","90","42.86","43"
"platform","180","156","86.67","33"
"other","147","63","42.86","7"
"yaml","131","96","73.28","23"
"flake8","92","92","100","4"
"github/codeowners","48","12","25","8"
"py}","3","0","0","3"
"png","3","3","100","195"
