"Extension","TotalLines","AILines","AIPercentage","FileCount"
"csv","1296160","1296160","100","25"
"py","75864","64886","85.53","779"
"md","31941","15586","48.8","742"
"ps1","25302","25292","99.96","80"
"json","19272","5695","29.55","107"
"ipynb","12507","8148","65.15","53"
"kql","7661","7595","99.14","172"
"yml","3989","1960","49.14","149"
"gitignore","2675","75","2.8","16"
"sh","919","825","89.77","27"
"bicep","705","700","99.29","13"
"dockerignore","470","470","100","5"
"ps1}","385","5","1.3","10"
"txt","330","150","45.45","67"
"platform","288","252","87.5","51"
"other","231","105","45.45","11"
"yaml","211","160","75.83","35"
"flake8","138","138","100","6"
"github/codeowners","72","18","25","12"
"py}","5","0","0","5"
"png","5","5","100","299"
