"Application","Branch","TotalCommits","AICommits","HumanCommits","TotalLinesAdded","AILinesAdded","HumanLinesAdded","AIPercentage","Tier1","Tier2","Tier3","Tier4","Tier5","UniqueContributors"
"Content Processing","dev","76","7","69","104206","78435","25771","75.27","0","4","0","2","1","15"
"Content Generation","dev","117","6","111","47502","5972","41530","12.57","0","2","2","2","0","13"
"Fabric SQL","dev","152","11","141","24948","3418","21530","13.7","0","5","1","0","5","14"
"MACAE v4","main","76","11","65","7689","4815","2874","62.62","0","10","0","0","1","13"
"KM Generic","dev","95","5","90","8610","3111","5499","36.13","1","3","1","0","0","13"
"MAAG","dev","32","3","29","16336","15796","540","96.69","0","0","2","1","0","9"
"BYOCC","dev","80","2","78","9813","611","9202","6.23","0","0","0","1","1","12"
"Deploy your AI application","main","27","2","25","6888","4465","2423","64.82","0","2","0","0","0","5"
"Code Modernization","dev","30","3","27","8535","447","8088","5.24","1","1","0","1","0","9"
"Data and Security","dev","15","1","14","3059","169","2890","5.52","0","1","0","0","0","2"
"RTI","main","19","0","19","157",,"157","0","0","0","0","0","0","6"
"Container Migration","dev","25","0","25","5985",,"5985","0","0","0","0","0","0","8"
"CWYD","dev","7","1","6","1152","10","1142","0.87","1","0","0","0","0","5"
"DKM","dev","20","0","20","3185",,"3185","0","0","0","0","0","0","6"
