"Application","Branch","TotalCommits","AICommits","HumanCommits","TotalLinesAdded","AILinesAdded","HumanLinesAdded","AIPercentage","Tier1","Tier2","Tier3","Tier4","Tier5","UniqueContributors"
"Doc Gen","dev","57","8","49","30315","3646","26669","12.03","0","1","0","1","6","8"
"MACAE v4","main","53","6","47","15364","13503","1861","87.89","0","5","0","0","1","6"
"Deploy your AI application","main","4","0","4","915",,"915","0","0","0","0","0","0","1"
"KM Generic","dev","26","1","25","7026","1482","5544","21.09","0","0","0","0","1","10"
"BYOCC","dev","4","1","3","5085","5027","58","98.86","0","0","0","1","0","3"
"MAAG","dev","25","1","24","12038","1107","10931","9.2","0","0","1","0","0","5"
"Fabric SQL","dev","19","0","19","2442",,"2442","0","0","0","0","0","0","5"
"CWYD","dev","6","0","6","2598",,"2598","0","0","0","0","0","0","5"
"RTI","main","10","0","10","343",,"343","0","0","0","0","0","0","6"
"Content Processing","dev","26","0","26","12546",,"12546","0","0","0","0","0","0","4"
"Code Modernization","dev","11","0","11","1504",,"1504","0","0","0","0","0","0","3"
"DKM","dev","6","0","6","26",,"26","0","0","0","0","0","0","2"
"Container Migration","dev","9","0","9","1279",,"1279","0","0","0","0","0","0","3"
"BYOC","dev","2","0","2","14",,"14","0","0","0","0","0","0","1"
