"Application","Branch","TotalCommits","AICommits","HumanCommits","TotalLinesAdded","AILinesAdded","HumanLinesAdded","AIPercentage","Tier1","Tier2","Tier3","Tier4","Tier5","UniqueContributors"
"Content Generation","dev","46","4","42","6423","3842","2581","59.82","1","2","1","0","0","11"
"Doc Gen","dev","46","4","42","6423","3842","2581","59.82","1","2","1","0","0","11"
"Fabric SQL","dev","77","4","73","3397","608","2789","17.9","1","2","1","0","0","12"
"KM Generic","dev","47","6","41","6160","3490","2670","56.66","0","1","2","2","1","10"
"Content Processing","dev","39","0","39","6397",,"6397","0","0","0","0","0","0","11"
"BYOCC","dev","36","3","33","15495","15125","370","97.61","0","1","1","1","0","9"
"Code Modernization","dev","44","3","41","1175","716","459","60.94","0","1","1","0","1","11"
"MACAE v4","main","27","1","26","1556","531","1025","34.13","0","0","1","0","0","11"
"CWYD","dev","12","2","10","3329","1648","1681","49.5","1","0","1","0","0","8"
"DKM","dev","26","2","24","4171","998","3173","23.93","0","0","1","0","1","8"
"Data and Security","dev","23","1","22","260","14","246","5.38","1","0","0","0","0","6"
"MAAG","dev","19","0","19","349",,"349","0","0","0","0","0","0","7"
"Container Migration","dev","22","3","19","1018","549","469","53.93","2","0","1","0","0","9"
"RTI","main","13","2","11","161","4","157","2.48","2","0","0","0","0","8"
"Deploy your AI application","main","1","0","1","24",,"24","0","0","0","0","0","0","1"
